timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
32608000,32490000,32528000,0,0.0,0.0,0.07,0.09,0.09,0.20250002,0.009077744,-0.04955785,0.007609844,0.10650562,0.106471434,0.21711956,3.0948766e-05,0.0009226815,1.0668727e-05,0,1,0,1
33008000,32890000,32928000,0,0.01,0.0,0.04,0.09,0.09,0.20250002,0.0042294497,-0.046947043,0.040800154,0.10646938,0.10642868,0.21709086,6.720522e-06,0.00082835753,0.00030672,0,1,0,1
33408000,33290000,33328000,0,-0.01,0.0,-0.01,0.09,0.09,0.20250002,0.030350149,-0.047285527,0.088670105,0.10643804,0.106392495,0.21706823,0.00034616626,0.00084063114,0.0014488325,0,1,0,1
33808000,33686000,33728000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.02167687,-0.04431923,0.07377328,0.106408365,0.10635831,0.21705022,0.00017663525,0.00073870836,0.0010029931,0,1,0,1
34008000,33890000,33928000,0,-0.01,0.0,-0.03,0.09,0.09,0.20250002,0.031017393,-0.040038865,0.09697862,0.10476079,0.104717664,0.21619992,0.00036734305,0.0006123554,0.001740029,0,1,0,1
34408000,34290000,34328000,0,0.02,0.0,-0.01,0.09,0.09,0.20250002,0.0033440776,-0.041629873,0.06911837,0.10512431,0.10507685,0.21639827,4.2550973e-06,0.0006597253,0.0008830661,0,1,0,1
34608000,34490000,34528000,0,0.0,0.02,0.01,0.09,0.09,0.20250002,0.025732698,-0.058677755,0.04167231,0.10386826,0.10382698,0.21571723,0.00025500444,0.001326468,0.00032201075,0,1,0,1
35008000,34890000,34928000,0,0.01,-0.01,0.04,0.09,0.09,0.20250002,0.0141083505,-0.030342689,0.00688361,0.10442253,0.10438332,0.21604323,7.624621e-05,0.00035280688,8.773075e-06,0,1,0,1
35408000,35290000,35328000,0,0.0,-0.01,0.0,0.09,0.09,0.20250002,0.025383828,-0.037027195,0.04630532,0.10487501,0.10483811,0.21637458,0.0002457549,0.00052309723,0.00039638352,0,1,0,1
35808000,35690000,35728000,0,0.02,0.01,-0.03,0.09,0.09,0.20250002,0.003360413,-0.060597777,0.071168385,0.10523312,0.105200104,0.21658343,4.2923275e-06,0.0013962309,0.00093542505,0,1,0,1
36208000,36090000,36128000,0,-0.01,-0.01,0.0,0.09,0.09,0.20250002,0.036627874,-0.038496755,0.03435748,0.10550982,0.10547785,0.21673924,0.0005086166,0.00056201377,0.00021785377,0,1,0,1
36608000,36490000,36528000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.02047892,-0.053301245,0.031034071,0.10570952,0.105684854,0.21692395,0.0001586938,0.001075281,0.0001775947,0,1,0,1
