timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
93444000,4000000.0,1.0,25515.938,0.0,40153,0,1854.5818,3471,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94444000,4000000.0,1.0,25663.348,0.0,40591,0,1829.6813,3513,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95444000,4000000.0,1.0,25523.904,0.0,41025,0,1894.4224,3555,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96444000,4000000.0,1.0,25695.22,0.0,41462,0,1829.6813,3597,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97444000,4000000.0,1.0,25464.145,0.0,41897,0,1829.6813,3639,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98444000,4000000.0,1.0,25934.264,0.0,42333,0,1570.7172,3676,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99444000,4000000.0,1.0,25597.61,0.0,42772,0,534.8606,3698,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100444000,4000000.0,1.0,25696.217,0.0,43210,0,534.8606,3720,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101444000,4000000.0,1.0,25589.643,0.0,43644,0,534.8606,3742,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102444000,4000000.0,1.0,25555.777,0.0,44080,0,534.8606,3764,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103444000,4000000.0,1.0,25503.984,0.0,44515,0,534.8606,3786,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104444000,4000000.0,1.0,25611.555,0.0,44952,0,534.8606,3808,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105444000,4000000.0,1.0,25505.977,0.0,45386,0,534.8606,3830,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
