timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
86808000,86690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
87208000,87090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
87608000,87486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
88008000,87886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
88408000,88290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
88808000,88690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89008000,88890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89408000,89290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89808000,89686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
90008000,89890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
90408000,90290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
90808000,90690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
91208000,91090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
91608000,91490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
92008000,91886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
92408000,92290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
92808000,92690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93008000,92890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93408000,93290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93808000,93690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
94208000,94086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
94408000,94290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
94808000,94690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95008000,94890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95408000,95286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95608000,95490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
96008000,95890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
96408000,96290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
96808000,96690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
97208000,97090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
97408000,97290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
